round,epsilon,client_train_loss,delta,noise_multiplier,max_grad_norm
1,6.432946209451751,0.6799684941602679,1e-05,1.0,1.0
2,8.878731099204757,0.6716235323215566,1e-05,1.0,1.0
3,10.888307525332415,0.6621489821796152,1e-05,1.0,1.0
4,12.670781365840112,0.6496991030455826,1e-05,1.0,1.0
5,14.307495447376516,0.634877713625849,1e-05,1.0,1.0
6,15.840326781522272,0.6152499704758536,1e-05,1.0,1.0
7,17.29423120021638,0.594816525666935,1e-05,1.0,1.0
8,18.68551195654334,0.5722737581055362,1e-05,1.0,1.0
9,20.025518915790208,0.5418471991991989,1e-05,1.0,1.0
10,21.32253210686986,0.5247379139538284,1e-05,1.0,1.0
